date,route,route_label,anisotropy
1994-02-01,H,HAC,6.4150994553027125
1994-03-01,H,HAC,6.282346117977509
1994-04-01,H,HAC,6.239990473642051
1994-05-01,H,HAC,6.274619385456516
1994-06-01,H,HAC,6.281934943548698
1994-07-01,H,HAC,6.2456514186527325
1994-08-01,H,HAC,6.183696882567479
1994-09-01,H,HAC,6.119561321341245
1994-10-01,H,HAC,6.032423785298717
1994-11-01,H,HAC,5.94578295068508
1994-12-01,H,HAC,5.914121032935608
1995-01-01,H,HAC,5.917733599221084
1995-02-01,H,HAC,5.82555128171078
1995-03-01,H,HAC,5.643419087103231
1995-04-01,H,HAC,5.489707418742872
1995-05-01,H,HAC,5.407785727025419
1995-06-01,H,HAC,5.466005124468446
1995-07-01,H,HAC,5.642524460172767
1995-08-01,H,HAC,5.813718950974012
1995-09-01,H,HAC,5.958882991698906
1995-10-01,H,HAC,6.045401951590276
1995-11-01,H,HAC,6.05545565062541
1995-12-01,H,HAC,5.997739743817545
1996-01-01,H,HAC,5.958874737848642
1996-02-01,H,HAC,6.004993307279951
1996-03-01,H,HAC,6.120371493650234
1996-04-01,H,HAC,6.16014287576889
1996-05-01,H,HAC,6.0580548187173555
1996-06-01,H,HAC,5.827355535842814
1996-07-01,H,HAC,5.5822667112289475
1996-08-01,H,HAC,5.4366207532275235
1996-09-01,H,HAC,5.458400106802878
1996-10-01,H,HAC,5.552576510340725
1996-11-01,H,HAC,5.6292336741646585
1996-12-01,H,HAC,5.657232399491034
1997-01-01,H,HAC,5.676204508402742
1997-02-01,H,HAC,5.695741948062735
1997-03-01,H,HAC,5.723328501482969
1997-04-01,H,HAC,5.764412045845564
1997-05-01,H,HAC,5.8392679878386495
1997-06-01,H,HAC,5.897615176750406
1997-07-01,H,HAC,5.851610259993915
1997-08-01,H,HAC,5.785065397069738
1997-09-01,H,HAC,5.794420445020447
1997-10-01,H,HAC,5.814060371433446
1997-11-01,H,HAC,5.817119149012416
1997-12-01,H,HAC,5.742868656722594
1998-01-01,H,HAC,5.646211558059001
1998-02-01,H,HAC,5.59230795525425
1998-03-01,H,HAC,5.555885103983778
1998-04-01,H,HAC,5.56261251990262
1998-05-01,H,HAC,5.536622537460095
1998-06-01,H,HAC,5.44488882018902
1998-07-01,H,HAC,5.3521428019820965
1998-08-01,H,HAC,5.20526521496197
1998-09-01,H,HAC,5.092887060776942
1998-10-01,H,HAC,5.107560985673988
1998-11-01,H,HAC,5.204760236415916
1998-12-01,H,HAC,5.323444255085188
1999-01-01,H,HAC,5.41450846375336
1999-02-01,H,HAC,5.425796787975656
1999-03-01,H,HAC,5.363315063496787
1999-04-01,H,HAC,5.284162932074988
1999-05-01,H,HAC,5.298896303891871
1999-06-01,H,HAC,5.397417501421982
1999-07-01,H,HAC,5.405494610102033
1999-08-01,H,HAC,5.317589237730886
1999-09-01,H,HAC,5.183415055149572
1999-10-01,H,HAC,5.067823694544433
1999-11-01,H,HAC,5.028137409365187
1999-12-01,H,HAC,5.039033117517491
2000-01-01,H,HAC,5.086585703422369
2000-02-01,H,HAC,5.116296434605947
2000-03-01,H,HAC,5.112799088657423
2000-04-01,H,HAC,5.064302109413453
2000-05-01,H,HAC,5.0134351832556865
2000-06-01,H,HAC,4.993121285662955
2000-07-01,H,HAC,4.998156795739689
2000-08-01,H,HAC,4.988186542560535
2000-09-01,H,HAC,4.934437659055599
2000-10-01,H,HAC,4.884609871312588
2000-11-01,H,HAC,4.839352339140849
2000-12-01,H,HAC,4.872097483600331
2001-01-01,H,HAC,4.949118716821411
2001-02-01,H,HAC,5.034534948266891
2001-03-01,H,HAC,5.092479228862267
2001-04-01,H,HAC,5.140942313377053
2001-05-01,H,HAC,5.214377968380922
2001-06-01,H,HAC,5.313751664614689
2001-07-01,H,HAC,5.387243069807066
2001-08-01,H,HAC,5.3602723245263
2001-09-01,H,HAC,5.266464149942766
2001-10-01,H,HAC,5.187151004513603
2001-11-01,H,HAC,5.139777114851555
2001-12-01,H,HAC,5.12350103647264
2002-01-01,H,HAC,5.097910072028812
2002-02-01,H,HAC,5.092409733917648
2002-03-01,H,HAC,5.12748592675888
2002-04-01,H,HAC,5.138006206365325
2002-05-01,H,HAC,5.2334747054963495
2002-06-01,H,HAC,5.476428848267425
2002-07-01,H,HAC,5.740359781643681
2002-08-01,H,HAC,5.918308657123772
2002-09-01,H,HAC,5.967017601306791
2002-10-01,H,HAC,5.951920111712173
2002-11-01,H,HAC,5.932389841330458
2002-12-01,H,HAC,5.892359598493317
2003-01-01,H,HAC,5.815015529877844
2003-02-01,H,HAC,5.745459351091829
2003-03-01,H,HAC,5.646095410139172
2003-04-01,H,HAC,5.521188619962991
2003-05-01,H,HAC,5.49999651014829
2003-06-01,H,HAC,5.652768885922696
2003-07-01,H,HAC,5.802186401335848
2003-08-01,H,HAC,5.8497038640203805
2003-09-01,H,HAC,5.816680379194335
2003-10-01,H,HAC,5.758203898568483
