date,MP_event_manual,CBI_event_manual,MP_pm_sum,CBI_pm_sum,fallback_event,n_events,nonmissing_median_events,missing_median_events,mixed_missing_and_nonmissing_events
2011-03-01,-0.01279495,0.01956673,0.0,0.00677178,False,1.0,1.0,0.0,False
2011-04-01,-0.01553016,0.00519344,-0.01033672,0.0,False,1.0,1.0,0.0,False
2011-05-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2011-06-01,-0.00460338,0.00798927,0.0,0.00338589,False,1.0,1.0,0.0,False
2011-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2011-08-01,0.03874492,-0.06509542,0.0,-0.0263505,False,1.0,1.0,0.0,False
2011-09-01,0.06316581,-0.00886996,0.05429585,0.0,False,1.0,1.0,0.0,False
2011-10-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2011-11-01,0.01306665,-0.00348857,0.00957808,0.0,False,1.0,1.0,0.0,False
2011-12-01,0.05270119,-0.0432921,0.00940909,0.0,False,1.0,1.0,0.0,False
2012-01-01,-0.02694354,0.00891939,-0.01802415,0.0,False,1.0,1.0,0.0,False
2012-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2012-03-01,0.00270337,0.00535414,0.0,0.00805751,False,1.0,1.0,0.0,False
2012-04-01,0.00098177,-0.00098177,0.0,0.0,False,1.0,1.0,0.0,False
2012-05-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2012-06-01,0.009776,0.00654326,0.01631926,0.0,False,1.0,1.0,0.0,False
2012-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2012-08-01,0.01623685,-0.00349314,0.01274371,0.0,False,1.0,1.0,0.0,False
2012-09-01,-0.0282545,0.04402613,0.0,0.01577163,False,1.0,1.0,0.0,False
2012-10-01,8.339e-05,-8.339e-05,0.0,0.0,False,1.0,1.0,0.0,False
2012-11-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2012-12-01,-0.02505452,0.02148958,-0.00356494,0.0,False,1.0,1.0,0.0,False
2013-01-01,0.00286222,-0.00624811,0.0,-0.00338589,False,1.0,1.0,0.0,False
2013-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2013-03-01,-0.00553648,0.00737555,0.0,0.00183907,False,1.0,1.0,0.0,False
2013-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2013-05-01,-0.00774815,0.0088745,0.0,0.00112635,False,1.0,1.0,0.0,False
2013-06-01,0.00614461,-0.00138543,0.00475918,0.0,False,1.0,1.0,0.0,False
2013-07-01,-0.00013405,-0.00398423,0.0,-0.00411828,False,1.0,1.0,0.0,False
2013-08-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2013-09-01,-0.06719709,0.0520097,-0.01518739,0.0,False,1.0,1.0,0.0,False
2013-10-01,0.01847807,-0.01626471,0.00221336,0.0,False,1.0,1.0,0.0,False
2013-11-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2013-12-01,-0.04424307,0.04559465,0.0,0.00135158,False,1.0,1.0,0.0,False
2014-01-01,0.02547689,-0.02220156,0.00327533,0.0,False,1.0,1.0,0.0,False
2014-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2014-03-01,0.02016519,-0.00405018,0.01611501,0.0,False,1.0,1.0,0.0,False
2014-04-01,-0.00048461,0.00159129,0.0,0.00110668,False,1.0,1.0,0.0,False
2014-05-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2014-06-01,-0.01532131,0.02227214,0.0,0.00695083,False,1.0,1.0,0.0,False
2014-07-01,-0.02639344,0.02054929,-0.00584415,0.0,False,1.0,1.0,0.0,False
2014-08-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2014-09-01,-0.00785221,0.02157481,0.0,0.0137226,False,1.0,1.0,0.0,False
2014-10-01,0.02830176,-0.00646586,0.0218359,0.0,False,1.0,1.0,0.0,False
2014-11-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2014-12-01,-0.06868336,0.01899448,-0.04968888,0.0,False,1.0,1.0,0.0,False
2015-01-01,0.01193557,-0.01783449,0.0,-0.00589892,False,1.0,1.0,0.0,False
2015-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2015-03-01,-0.11601336,0.05251251,-0.06350085,0.0,False,1.0,1.0,0.0,False
2015-04-01,-0.00547425,0.00547425,0.0,0.0,False,1.0,1.0,0.0,False
2015-05-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2015-06-01,-0.04060561,-0.0012497,-0.04185531,0.0,False,1.0,1.0,0.0,False
2015-07-01,-0.01221075,0.00285643,-0.00935432,0.0,False,1.0,1.0,0.0,False
