region,year,weight_sum,effective_obs,ridge_rho_effective,smoother_status,leave_out,state_index,solver_backend,max_generalized_residual,max_interval_residual,d_2,kappa5_2,max_distance5_2,median_distance5_2,d_4,kappa5_4,max_distance5_4,median_distance5_4
Middle Atlantic,1985,1018.2133051787445,1438.256388077642,0.08,smoothed,none,55,scipy.linalg.eigh subset_by_value,1.7342825437836838e-13,1.7342825437836838e-13,6,0.14585845229370345,0.9997773043132364,0.9989502423287229,4,0.21821497886403612,0.9997773043132364,0.9986401318889391
Middle Atlantic,1986,1023.8687950360961,1443.5262394908207,0.08,smoothed,none,56,scipy.linalg.eigh subset_by_value,1.411619983153093e-13,1.411619983153093e-13,5,0.17459546146813212,0.9995705720584208,0.9989152414606058,4,0.21802965896646478,0.9990949974080854,0.9986881825041622
Middle Atlantic,1987,1028.66693177345,1449.4093091289044,0.08,smoothed,none,57,scipy.linalg.eigh subset_by_value,1.0272343075700761e-13,1.0272343075700761e-13,6,0.14550923189335999,0.9996942100474047,0.9989956084642153,3,0.28865166743836784,0.9994494732960706,0.9985417436323601
Middle Atlantic,1988,1032.304369946299,1455.2779444639311,0.08,smoothed,none,58,scipy.linalg.eigh subset_by_value,6.720968893232482e-14,6.720968893232482e-14,5,0.17367757833543224,0.9998167276914409,0.9985077530504343,3,0.28333068304819736,0.9998167276914409,0.9992066696892314
Middle Atlantic,1989,1034.77060960571,1460.217569026389,0.08,smoothed,none,59,scipy.linalg.eigh subset_by_value,5.617934084832406e-14,5.617934084832406e-14,5,0.17281553836292296,0.9956594910989849,0.9385849886638825,2,0.10106055712264048,0.9575683290551849,0.9480766588595337
Middle Atlantic,1990,1036.26662427018,1463.6981652786565,0.08,smoothed,none,60,scipy.linalg.eigh subset_by_value,5.322621060920764e-14,5.322621060920764e-14,5,0.15626957619464948,0.9991101482531514,0.9972566181462832,2,0.003629074610502101,0.9991101482531514,0.9981833831997173
Middle Atlantic,1991,1037.078602071399,1465.7732989774597,0.08,smoothed,none,61,scipy.linalg.eigh subset_by_value,4.987920822234595e-14,4.987920822234595e-14,4,0.004355683381376293,0.9998806656142514,0.9990176236550792,2,0.0019630674745217355,0.9998662413762646,0.9990176236550792
Middle Atlantic,1992,1037.4728779353795,1466.8362058833252,0.08,smoothed,none,62,scipy.linalg.eigh subset_by_value,4.3773916007023204e-14,4.3773916007023204e-14,4,0.001683161013886214,0.9997311403449775,0.9995458958195053,2,0.0006834899238190006,0.9997311403449775,0.9996581939618192
Middle Atlantic,1993,1037.6437561161786,1467.3096495689233,0.08,smoothed,none,63,scipy.linalg.eigh subset_by_value,4.679233396151395e-14,4.679233396151395e-14,4,0.00172140234724829,0.9998005548958876,0.9991646667661285,2,0.001514776275886337,0.9998005548958876,0.9992421688104908
Middle Atlantic,1994,1037.7078343207713,1467.489397658036,0.08,smoothed,none,64,scipy.linalg.eigh subset_by_value,5.035306485697528e-14,5.035306485697528e-14,4,0.0015214509416242264,0.999955046098626,0.999151708690289,2,0.0020199958832792545,0.9992818491539676,0.9989894487023858
Middle Atlantic,1995,1037.7194863597388,1467.5221762341846,0.08,smoothed,none,65,scipy.linalg.eigh subset_by_value,4.9364617344082206e-14,4.9364617344082206e-14,3,0.001555119156117243,0.99981956122986,0.999070471316076,1,0.0024463191419475143,0.9987760914529605,0.9987760914529605
Middle Atlantic,1996,1037.6804156759197,1467.4116860194,0.08,smoothed,none,66,scipy.linalg.eigh subset_by_value,4.352259728403934e-14,4.352259728403934e-14,2,0.002070310374219958,0.9992790215337638,0.9989642588953127,1,0.002699183625916356,0.9986494962568617,0.9986494962568617
Middle Atlantic,1997,1037.5162957722841,1466.9479484935227,0.08,smoothed,none,67,scipy.linalg.eigh subset_by_value,3.504066371332983e-14,3.504066371332983e-14,2,0.0016110238226532104,0.9997352976683296,0.9991940167917137,0,,,
Middle Atlantic,1998,1036.9833006831097,1465.4452471625277,0.08,smoothed,none,68,scipy.linalg.eigh subset_by_value,2.4480723249646266e-14,2.4480723249646266e-14,1,0.002304646645640651,0.9988470119865,0.9988470119865,0,,,
Middle Atlantic,1999,1035.4503711476461,1461.1497469903456,0.08,smoothed,none,69,scipy.linalg.eigh subset_by_value,1.5681685316730893e-14,1.5681685316730893e-14,1,0.0008293254074656801,0.9995852512880201,0.9995852512880201,0,,,
