eta,candidate_valid,blocked_predictive_neg_loglik,blocked_predictive_effective_n_median,blocked_predictive_min_training_weight_sum,min_weight,max_weight,max_row_sum_error,max_column_sum_error,symmetry_error,mean_C_relative_error,effective_n_min,effective_n_median,effective_n_max,diagonal_weight_median,grid_extension_round
0.0028327353733475515,True,328.3874597598859,71.24673978540505,0.5280279763753652,2.2925345456780407e-10,0.05182592256056686,6.006306563222097e-14,6.050715484207103e-14,0.0,5.035297453843868e-14,37.59072643931568,75.08913394769333,75.12827911925439,0.026603573422624704,2
0.0038253464786402788,True,360.4465145547677,60.89026983913981,0.47612522651730343,1.0504132947144035e-11,0.05996627954400289,4.263256414560601e-14,4.363176486776865e-14,0.0,2.9577132216252514e-14,32.35207745433663,64.63468671485917,64.6423938190536,0.030910209817657613,0
0.0042463896175334685,True,372.7785615775172,58.12715296504135,0.45756622845977285,3.1948955253963995e-12,0.06307571295608366,2.120525977034049e-14,2.142730437526552e-14,0.0,1.1594357979605029e-14,30.707925384727417,61.346659545168144,61.35078992202921,0.0325650496162854,1
0.006686969590269875,True,435.04553265325626,45.429362204799325,0.3749309089716701,7.94298567551769e-15,0.0784987321887979,2.653433028854124e-14,2.6978419498391304e-14,0.0,2.0924479029713878e-14,24.478118489732996,48.874485196175215,48.874667488685354,0.04085282248703044,2
0.008733695254185374,True,479.65332627059155,38.96273989672033,0.3259395976671037,1.1419255245470284e-16,0.08918936334996577,3.68594044175552e-14,3.730349362740526e-14,0.0,2.5695689459812914e-14,21.42419863624588,42.7552274460834,42.755247830930465,0.04667619278853504,0
0.009583150560066178,True,496.77407235584735,36.89867379891182,0.30904936711582087,2.2681634506062178e-17,0.09321918817852992,1.5987211554602254e-14,1.6209256159527285e-14,0.0,8.288782959086374e-15,20.45481031404907,40.81206838070721,40.81207725107341,0.04888825640242703,1
0.015785294567897512,True,604.91935453173,27.24797267968055,0.22164359062931493,8.968831665461027e-22,0.1179945579795195,2.1760371282653068e-14,2.2648549702353193e-14,0.0,1.649643307922649e-14,15.949934253299297,31.77496705486661,31.774967104050546,0.06269618320568798,2
0.0199400062762662,True,665.8137678378511,23.486846597578676,0.18394760104692978,2.9762125397426637e-24,0.13159061016528767,2.9976021664879227e-15,3.9968028886505635e-15,0.0,5.676605584986928e-16,14.198652833115126,28.257142477655098,28.2571424803301,0.07042921689522569,0
0.021627025056226573,True,688.6141325983842,22.282444318699167,0.17150391737881854,3.473466968552117e-25,0.13664481076841142,9.325873406851315e-15,9.992007221626409e-15,0.0,6.4486358238453e-15,13.636487026131045,27.12709321235007,27.127093213245843,0.07333266977667328,1
0.03726284697897638,True,862.6005581774401,15.469585617697772,0.09897886892442011,1.582647646323418e-32,0.17530149511955312,1.5543122344752192e-15,1.887379141862766e-15,0.0,4.086208709733407e-16,10.408915814642816,20.627445868413606,20.627445868413762,0.09607148504297085,2
0.04552527180370714,True,934.4013757670981,13.467671152669427,0.07764825817751447,8.89671994796501e-36,0.19181464480816832,1.5543122344752192e-15,1.7763568394002505e-15,0.0,5.663074575190408e-16,9.426732546934444,18.64366345155447,18.64366345155448,0.1060812954033789,0
